match_id,inning_number,batting_team,bowling_team,session_number,runs_scored,wickets_fallen,session_winner
1000851,1,South Africa,Australia,1,87,5,-1
1000851,1,South Africa,Australia,2,136,3,1
1000851,1,South Africa,Australia,3,19,2,-1
1000851,2,Australia,South Africa,1,129,0,1
1000851,2,Australia,South Africa,2,71,5,-1
1000851,2,Australia,South Africa,3,44,5,-1
1000851,3,South Africa,Australia,1,77,2,0
1000851,3,South Africa,Australia,2,91,0,1
1000851,3,South Africa,Australia,3,120,0,1
1000851,3,South Africa,Australia,4,82,4,-1
1000851,3,South Africa,Australia,5,120,1,1
1000851,4,Australia,South Africa,1,97,2,1
1000851,4,Australia,South Africa,2,85,2,0
1000851,4,Australia,South Africa,3,88,3,-1
1000851,4,Australia,South Africa,4,91,3,0
1000853,1,Australia,South Africa,1,66,8,-1
1000853,1,Australia,South Africa,2,19,2,-1
1000853,2,South Africa,Australia,1,82,4,-1
1000853,2,South Africa,Australia,2,109,1,1
1000853,2,South Africa,Australia,3,85,1,1
1000853,2,South Africa,Australia,4,50,4,-1
1000853,3,Australia,South Africa,1,93,2,1
1000853,3,Australia,South Africa,2,68,7,-1
1000853,3,Australia,South Africa,3,0,1,-1
1000855,1,South Africa,Australia,1,92,3,0
1000855,1,South Africa,Australia,2,86,4,-1
1000855,2,Australia,South Africa,1,71,2,0
1000855,2,Australia,South Africa,2,102,0,1
1000855,2,Australia,South Africa,3,108,3,0
1000855,2,Australia,South Africa,4,100,4,-1
1000855,2,Australia,South Africa,5,2,1,-1
1000855,3,South Africa,Australia,1,87,2,0
1000855,3,South Africa,Australia,2,69,2,0
1000855,3,South Africa,Australia,3,94,6,-1
1000855,4,Australia,South Africa,1,94,2,1
1000881,1,Australia,Pakistan,1,89,2,0
1000881,1,Australia,Pakistan,2,99,1,1
1000881,1,Australia,Pakistan,3,100,0,1
1000881,1,Australia,Pakistan,4,95,6,-1
1000881,1,Australia,Pakistan,5,46,1,-1
1000881,2,Pakistan,Australia,1,56,6,-1
1000881,2,Pakistan,Australia,2,86,4,-1
1000881,3,Australia,Pakistan,1,136,3,1
1000881,4,Pakistan,Australia,1,55,2,-1
1000881,4,Pakistan,Australia,2,90,1,1
1000881,4,Pakistan,Australia,3,88,3,-1
1000881,4,Pakistan,Australia,4,128,1,1
1000881,4,Pakistan,Australia,5,89,3,-1
1000883,1,Pakistan,Australia,1,72,2,0
1000883,1,Pakistan,Australia,2,87,2,0
1000883,1,Pakistan,Australia,3,95,1,1
1000883,1,Pakistan,Australia,4,134,2,1
1000883,2,Australia,Pakistan,1,138,1,1
1000883,2,Australia,Pakistan,2,140,1,1
1000883,2,Australia,Pakistan,3,112,2,1
1000883,2,Australia,Pakistan,4,97,2,1
1000883,3,Pakistan,Australia,1,90,5,-1
1000883,3,Pakistan,Australia,2,73,5,-1
1000885,1,Australia,Pakistan,1,141,0,1
1000885,1,Australia,Pakistan,2,103,3,0
1000885,1,Australia,Pakistan,3,128,0,1
1000885,1,Australia,Pakistan,4,92,1,1
1000885,2,Pakistan,Australia,1,87,2,0
1000885,2,Pakistan,Australia,2,78,1,1
1000885,2,Pakistan,Australia,3,95,4,-1
1000885,2,Pakistan,Australia,4,55,3,-1
1000885,3,Australia,Pakistan,1,224,2,1
1000885,4,Pakistan,Australia,1,82,4,-1
1000885,4,Pakistan,Australia,2,63,2,0
1000885,4,Pakistan,Australia,3,99,4,-1
1019985,1,Bangladesh,New Zealand,1,120,2,1
1019985,1,Bangladesh,New Zealand,2,94,2,1
1019985,1,Bangladesh,New Zealand,3,126,0,1
1019985,1,Bangladesh,New Zealand,4,157,0,1
1019985,1,Bangladesh,New Zealand,5,91,4,-1
1019985,2,New Zealand,Bangladesh,1,110,1,1
1019985,2,New Zealand,Bangladesh,2,149,2,1
1019985,2,New Zealand,Bangladesh,3,86,0,1
1019985,2,New Zealand,Bangladesh,4,80,3,-1
1019985,2,New Zealand,Bangladesh,5,114,4,-1
1019985,3,Bangladesh,New Zealand,1,100,5,-1
1019985,3,Bangladesh,New Zealand,2,60,5,-1
1019985,4,New Zealand,Bangladesh,1,166,2,1
1019987,1,Bangladesh,New Zealand,1,141,2,1
1019987,1,Bangladesh,New Zealand,2,106,4,-1
1019987,1,Bangladesh,New Zealand,3,42,4,-1
1019987,2,New Zealand,Bangladesh,1,101,2,1
1019987,2,New Zealand,Bangladesh,2,122,2,1
1019987,2,New Zealand,Bangladesh,3,120,5,-1
1019987,2,New Zealand,Bangladesh,4,11,1,-1
1019987,3,Bangladesh,New Zealand,1,86,3,-1
1019987,3,Bangladesh,New Zealand,2,87,7,-1
1019993,1,Pakistan,New Zealand,1,77,4,-1
1019993,1,Pakistan,New Zealand,2,56,6,-1
1019993,2,New Zealand,Pakistan,1,88,3,-1
1019993,2,New Zealand,Pakistan,2,112,7,-1
1019993,3,Pakistan,New Zealand,1,45,1,-1
1019993,3,Pakistan,New Zealand,2,50,4,-1
1019993,3,Pakistan,New Zealand,3,76,5,-1
1019993,4,New Zealand,Pakistan,1,104,1,1
1019995,1,New Zealand,Pakistan,1,95,3,0
1019995,1,New Zealand,Pakistan,2,96,3,0
1019995,1,New Zealand,Pakistan,3,80,4,-1
1019995,2,Pakistan,New Zealand,1,78,5,-1
1019995,2,Pakistan,New Zealand,2,118,3,0
1019995,2,Pakistan,New Zealand,3,20,2,-1
1019995,3,New Zealand,Pakistan,1,74,1,1
1019995,3,New Zealand,Pakistan,2,114,2,1
1019995,4,Pakistan,New Zealand,1,55,0,-1
1019995,4,Pakistan,New Zealand,2,76,1,1
